doc_id	path	title
10	books/pg00010_The_King_James_Version_of_the_Bible.txt	The King James Version of the Bible
11	books/pg00011_Alice_s_Adventures_in_Wonderland.txt	Alice s Adventures in Wonderland
12	books/pg00012_Through_the_Looking_Glass.txt	Through the Looking Glass
16	books/pg00016_Peter_Pan_b_Peter_and_Wendy.txt	Peter Pan b Peter and Wendy
21	books/pg00021_Three_hundred_Aesop_s_fables_Translated_by_George_Fyler_Town.txt	Three hundred Aesop s fables Translated by George Fyler Town
23	books/pg00023_Narrative_of_the_Life_of_Frederick_Douglass_an_American_Slav.txt	Narrative of the Life of Frederick Douglass an American Slav
26	books/pg00026_Paradise_Lost.txt	Paradise Lost
35	books/pg00035_The_Time_Machine.txt	The Time Machine
36	books/pg00036_The_war_of_the_worlds.txt	The war of the worlds
41	books/pg00041_The_Legend_of_Sleepy_Hollow.txt	The Legend of Sleepy Hollow
42	books/pg00042_The_strange_case_of_Dr_Jekyll_and_Mr_Hyde.txt	The strange case of Dr Jekyll and Mr Hyde
43	books/pg00043_The_strange_case_of_Dr_Jekyll_and_Mr_Hyde.txt	The strange case of Dr Jekyll and Mr Hyde
45	books/pg00045_Anne_of_Green_Gables.txt	Anne of Green Gables
46	books/pg00046_A_Christmas_Carol_in_Prose_Being_a_Ghost_Story_of_Christmas.txt	A Christmas Carol in Prose Being a Ghost Story of Christmas
55	books/pg00055_The_Wonderful_Wizard_of_Oz.txt	The Wonderful Wizard of Oz
62	books/pg00062_A_princess_of_Mars.txt	A princess of Mars
72	books/pg00072_Thuvia_maid_of_Mars.txt	Thuvia maid of Mars
74	books/pg00074_The_Adventures_of_Tom_Sawyer_Complete.txt	The Adventures of Tom Sawyer Complete
76	books/pg00076_Adventures_of_Huckleberry_Finn.txt	Adventures of Huckleberry Finn
79	books/pg00079_Terminal_Compromise.txt	Terminal Compromise
84	books/pg00084_Frankenstein_or_the_modern_prometheus.txt	Frankenstein or the modern prometheus
86	books/pg00086_A_Connecticut_Yankee_in_King_Arthur_s_Court.txt	A Connecticut Yankee in King Arthur s Court
98	books/pg00098_A_Tale_of_Two_Cities.txt	A Tale of Two Cities
100	books/pg00100_The_Complete_Works_of_William_Shakespeare.txt	The Complete Works of William Shakespeare
103	books/pg00103_Around_the_World_in_Eighty_Days.txt	Around the World in Eighty Days
105	books/pg00105_Persuasion.txt	Persuasion
108	books/pg00108_The_Return_of_Sherlock_Holmes.txt	The Return of Sherlock Holmes
110	books/pg00110_Tess_of_the_d_Urbervilles_A_Pure_Woman.txt	Tess of the d Urbervilles A Pure Woman
113	books/pg00113_The_Secret_Garden.txt	The Secret Garden
120	books/pg00120_Treasure_Island.txt	Treasure Island
121	books/pg00121_Northanger_Abbey.txt	Northanger Abbey
132	books/pg00132_The_Art_of_War.txt	The Art of War
135	books/pg00135_Les_Mis_rables.txt	Les Mis rables
145	books/pg00145_Middlemarch.txt	Middlemarch
155	books/pg00155_The_Moonstone.txt	The Moonstone
158	books/pg00158_Emma.txt	Emma
160	books/pg00160_The_Awakening_and_Selected_Short_Stories.txt	The Awakening and Selected Short Stories
161	books/pg00161_Sense_and_Sensibility.txt	Sense and Sensibility
164	books/pg00164_Twenty_Thousand_Leagues_under_the_Sea.txt	Twenty Thousand Leagues under the Sea
173	books/pg00173_The_Insidious_Dr_Fu_Manchu.txt	The Insidious Dr Fu Manchu
174	books/pg00174_The_Picture_of_Dorian_Gray.txt	The Picture of Dorian Gray
175	books/pg00175_The_Phantom_of_the_Opera.txt	The Phantom of the Opera
203	books/pg00203_Uncle_Tom_s_Cabin.txt	Uncle Tom s Cabin
204	books/pg00204_The_innocence_of_Father_Brown.txt	The innocence of Father Brown
205	books/pg00205_Walden_and_On_The_Duty_Of_Civil_Disobedience.txt	Walden and On The Duty Of Civil Disobedience
209	books/pg00209_The_Turn_of_the_Screw.txt	The Turn of the Screw
215	books/pg00215_The_call_of_the_wild.txt	The call of the wild
219	books/pg00219_Heart_of_Darkness.txt	Heart of Darkness
221	books/pg00221_The_Return_of_Sherlock_Holmes.txt	The Return of Sherlock Holmes
223	books/pg00223_The_wisdom_of_Father_Brown.txt	The wisdom of Father Brown
224	books/pg00224_A_pair_of_blue_eyes.txt	A pair of blue eyes
228	books/pg00228_The_Aeneid.txt	The Aeneid
236	books/pg00236_The_Jungle_Book.txt	The Jungle Book
244	books/pg00244_A_Study_in_Scarlet.txt	A Study in Scarlet
245	books/pg00245_Life_on_the_Mississippi.txt	Life on the Mississippi
271	books/pg00271_Black_Beauty_b_The_autobiography_of_a_horse.txt	Black Beauty b The autobiography of a horse
345	books/pg00345_Dracula.txt	Dracula
389	books/pg00389_The_Great_God_Pan.txt	The Great God Pan
393	books/pg00393_The_Blue_Lagoon_A_Romance.txt	The Blue Lagoon A Romance
394	books/pg00394_Cranford.txt	Cranford
408	books/pg00408_The_Souls_of_Black_Folk.txt	The Souls of Black Folk
421	books/pg00421_Kidnapped.txt	Kidnapped
468	books/pg00468_Manon_Lescaut.txt	Manon Lescaut
514	books/pg00514_Little_Women.txt	Little Women
521	books/pg00521_The_Life_and_Adventures_of_Robinson_Crusoe.txt	The Life and Adventures of Robinson Crusoe
524	books/pg00524_Ann_Veronica_A_Modern_Love_Story.txt	Ann Veronica A Modern Love Story
537	books/pg00537_Tales_of_Terror_and_Mystery.txt	Tales of Terror and Mystery
558	books/pg00558_The_Thirty_Nine_Steps.txt	The Thirty Nine Steps
560	books/pg00560_Mr_Standfast.txt	Mr Standfast
564	books/pg00564_The_Mystery_of_Edwin_Drood.txt	The Mystery of Edwin Drood
583	books/pg00583_The_Woman_in_White.txt	The Woman in White
589	books/pg00589_Catriona.txt	Catriona
600	books/pg00600_Notes_from_the_Underground.txt	Notes from the Underground
601	books/pg00601_The_Monk_A_Romance.txt	The Monk A Romance
730	books/pg00730_Oliver_Twist.txt	Oliver Twist
732	books/pg00732_History_of_the_Decline_and_Fall_of_the_Roman_Empire_Volume_2.txt	History of the Decline and Fall of the Roman Empire Volume 2
766	books/pg00766_David_Copperfield.txt	David Copperfield
768	books/pg00768_Wuthering_Heights.txt	Wuthering Heights
779	books/pg00779_The_Tragical_History_of_Doctor_Faustus_From_the_Quarto_of_16.txt	The Tragical History of Doctor Faustus From the Quarto of 16
815	books/pg00815_Democracy_in_America_Volume_1.txt	Democracy in America Volume 1
829	books/pg00829_Gulliver_s_Travels_into_Several_Remote_Nations_of_the_World.txt	Gulliver s Travels into Several Remote Nations of the World
831	books/pg00831_Four_Arthurian_Romances.txt	Four Arthurian Romances
834	books/pg00834_The_Memoirs_of_Sherlock_Holmes.txt	The Memoirs of Sherlock Holmes
844	books/pg00844_The_Importance_of_Being_Earnest_A_Trivial_Comedy_for_Serious.txt	The Importance of Being Earnest A Trivial Comedy for Serious
851	books/pg00851_Narrative_of_the_Captivity_and_Restoration_of_Mrs_Mary_Rowla.txt	Narrative of the Captivity and Restoration of Mrs Mary Rowla
863	books/pg00863_The_Mysterious_Affair_at_Styles.txt	The Mysterious Affair at Styles
910	books/pg00910_White_Fang.txt	White Fang
921	books/pg00921_De_Profundis.txt	De Profundis
940	books/pg00940_The_Last_of_the_Mohicans_A_narrative_of_1757.txt	The Last of the Mohicans A narrative of 1757
974	books/pg00974_The_Secret_Agent_A_Simple_Tale.txt	The Secret Agent A Simple Tale
996	books/pg00996_Don_Quixote.txt	Don Quixote
1001	books/pg01001_Divine_Comedy_Longfellow_s_Translation_Hell.txt	Divine Comedy Longfellow s Translation Hell
1023	books/pg01023_Bleak_House.txt	Bleak House
1063	books/pg01063_The_Cask_of_Amontillado.txt	The Cask of Amontillado
1079	books/pg01079_The_life_and_opinions_of_Tristram_Shandy_gentleman.txt	The life and opinions of Tristram Shandy gentleman
1080	books/pg01080_A_Modest_Proposal_For_preventing_the_children_of_poor_people.txt	A Modest Proposal For preventing the children of poor people
1112	books/pg01112_Romeo_and_Juliet.txt	Romeo and Juliet
1155	books/pg01155_The_Secret_Adversary.txt	The Secret Adversary
1170	books/pg01170_Anabasis.txt	Anabasis
1184	books/pg01184_The_Count_of_Monte_Cristo.txt	The Count of Monte Cristo
1212	books/pg01212_Love_and_Freindship_sic.txt	Love and Freindship sic
1228	books/pg01228_On_the_Origin_of_Species_By_Means_of_Natural_Selection_Or_th.txt	On the Origin of Species By Means of Natural Selection Or th
1232	books/pg01232_The_Prince.txt	The Prince
1251	books/pg01251_Le_Morte_d_Arthur_Volume_1.txt	Le Morte d Arthur Volume 1
1257	books/pg01257_The_three_musketeers.txt	The three musketeers
1259	books/pg01259_Twenty_years_after.txt	Twenty years after
1260	books/pg01260_Jane_Eyre_An_Autobiography.txt	Jane Eyre An Autobiography
1322	books/pg01322_Leaves_of_Grass.txt	Leaves of Grass
1342	books/pg01342_Pride_and_Prejudice.txt	Pride and Prejudice
1399	books/pg01399_Anna_Karenina.txt	Anna Karenina
1400	books/pg01400_Great_Expectations.txt	Great Expectations
1497	books/pg01497_The_Republic.txt	The Republic
1510	books/pg01510_Love_s_Labour_s_Lost.txt	Love s Labour s Lost
1513	books/pg01513_Romeo_and_Juliet.txt	Romeo and Juliet
1514	books/pg01514_A_Midsummer_Night_s_Dream.txt	A Midsummer Night s Dream
1523	books/pg01523_As_You_Like_It.txt	As You Like It
1524	books/pg01524_Hamlet.txt	Hamlet
1600	books/pg01600_Symposium.txt	Symposium
1608	books/pg01608_Camille_La_Dame_aux_Camilias.txt	Camille La Dame aux Camilias
1636	books/pg01636_Phaedrus.txt	Phaedrus
1658	books/pg01658_Phaedo.txt	Phaedo
1661	books/pg01661_The_Adventures_of_Sherlock_Holmes.txt	The Adventures of Sherlock Holmes
1685	books/pg01685_The_Mystery_of_the_Yellow_Room.txt	The Mystery of the Yellow Room
1686	books/pg01686_The_Secret_of_the_Night.txt	The Secret of the Night
1695	books/pg01695_The_Man_Who_Was_Thursday_A_Nightmare.txt	The Man Who Was Thursday A Nightmare
1719	books/pg01719_The_Ballad_of_the_White_Horse.txt	The Ballad of the White Horse
1727	books/pg01727_The_Odyssey_Rendered_into_English_prose_for_the_use_of_those.txt	The Odyssey Rendered into English prose for the use of those
1837	books/pg01837_The_Prince_and_the_Pauper.txt	The Prince and the Pauper
1849	books/pg01849_The_Yellow_Crayon.txt	The Yellow Crayon
1872	books/pg01872_The_Red_House_Mystery.txt	The Red House Mystery
1874	books/pg01874_The_Railway_Children.txt	The Railway Children
1931	books/pg01931_The_Zeppelin_s_Passenger.txt	The Zeppelin s Passenger
1934	books/pg01934_Songs_of_Innocence_and_of_Experience.txt	Songs of Innocence and of Experience
